郵件ID,郵件日期,交易時間,策略,帳戶,價格,交易方向,數量,倉位前,倉位後,系統狀態,錯誤訊息,原始內容
14876db3d023e49a,Mon Sep 15 2014 09:09:11 GMT+0800 (Taiwan Standard Time),Mon Sep 15 2014 09:09:01 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,9216,reduce_short,1,-5,-4,normal,,"2014/09/15 09:09:01 ""9216"" 減碼空單目前倉位：-4 之前倉位：-5 交易所_B(小型台指) 倍數：1, 本次下單：1 , 帳戶實際倉位：-4 , 總倉位：-4"
1485d200d2277951,Wed Sep 10 2014 09:14:12 GMT+0800 (Taiwan Standard Time),Wed Sep 10 2014 09:14:02 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,9385,add_short,-1,-2,-3,normal,,"2014/09/10 09:14:02 ""9385"" 加碼空單目前倉位：-3 之前倉位：-2 交易所_B(小型台指) 倍數：1, 本次下單：-1 , 帳戶實際倉位：-3 , 總倉位：-3"
1485816072811f6d,Tue Sep 09 2014 09:45:10 GMT+0800 (Taiwan Standard Time),Tue Sep 09 2014 09:45:00 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,9466,reduce_short,1,-2,-1,normal,,"2014/09/09 09:45:00 ""9466"" 減碼空單目前倉位：-1 之前倉位：-2 交易所_B(小型台指) 倍數：1, 本次下單：1 , 帳戶實際倉位：-1 , 總倉位：-1"
148444f27679ce16,Fri Sep 05 2014 13:35:12 GMT+0800 (Taiwan Standard Time),Fri Sep 05 2014 13:35:03 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,9410,reduce_short,1,-3,-2,normal,,"2014/09/05 13:35:03 ""9410"" 減碼空單目前倉位：-2 之前倉位：-3 交易所_B(小型台指) 倍數：1, 本次下單：1 , 帳戶實際倉位：-2 , 總倉位：-2"
14843afdfaa19480,Fri Sep 05 2014 10:41:14 GMT+0800 (Taiwan Standard Time),Fri Sep 05 2014 10:41:03 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,9392,add_short,-1,-2,-3,normal,,"2014/09/05 10:41:03 ""9392"" 加碼空單目前倉位：-3 之前倉位：-2 交易所_B(小型台指) 倍數：1, 本次下單：-1 , 帳戶實際倉位：-3 , 總倉位：-3"
1483e563cc1740f4,Thu Sep 04 2014 09:45:12 GMT+0800 (Taiwan Standard Time),Thu Sep 04 2014 09:45:01 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,9428,add_short,-1,-1,-2,normal,,"2014/09/04 09:45:01 ""9428"" 加碼空單目前倉位：-2 之前倉位：-1 交易所_B(小型台指) 倍數：1, 本次下單：-1 , 帳戶實際倉位：-2 , 總倉位：-2"
1483950df47aa8b0,Wed Sep 03 2014 10:21:12 GMT+0800 (Taiwan Standard Time),Wed Sep 03 2014 10:21:02 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,9474,reduce_short,1,-2,-1,normal,,"2014/09/03 10:21:02 ""9474"" 減碼空單目前倉位：-1 之前倉位：-2 交易所_B(小型台指) 倍數：1, 本次下單：1 , 帳戶實際倉位：-1 , 總倉位：-1"
148348ca711fff62,Tue Sep 02 2014 12:08:23 GMT+0800 (Taiwan Standard Time),Tue Sep 02 2014 12:08:14 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,9418,long_to_short,-5,3,-2,normal,,"2014/09/02 12:08:14 ""9418"" 多翻空目前倉位：-2 之前倉位：3 交易所_B(小型台指) 倍數：1, 本次下單：-5 , 帳戶實際倉位：-2 , 總倉位：-2"
1483414827d6bda7,Tue Sep 02 2014 09:57:08 GMT+0800 (Taiwan Standard Time),Tue Sep 02 2014 09:56:59 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,9442,reduce_long,-1,4,3,normal,,"2014/09/02 09:56:59 ""9442"" 減碼多單目前倉位：+3 之前倉位：4 交易所_B(小型台指) 倍數：1, 本次下單：-1 , 帳戶實際倉位：3 , 總倉位：3 MIX"
148340a576bb8b9c,Tue Sep 02 2014 09:46:01 GMT+0800 (Taiwan Standard Time),Tue Sep 02 2014 09:45:51 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,9462,reduce_long,-1,5,4,normal,,"2014/09/02 09:45:51 ""9462"" 減碼多單目前倉位：+4 之前倉位：5 交易所_B(小型台指) 倍數：1, 本次下單：-1 , 帳戶實際倉位：4 , 總倉位：4 MIX"
14810223667a8328,Tue Aug 26 2014 10:25:50 GMT+0800 (Taiwan Standard Time),Tue Aug 26 2014 10:25:39 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,9391,add_long,1,4,5,normal,,"2014/08/26 10:25:39 ""9391"" 加碼多單目前倉位：+5 之前倉位：4 交易所_B(小型台指) 倍數：1, 本次下單：0 , 帳戶實際倉位：5 , 總倉位：5 MIX"
147fb639b858f6d0,Fri Aug 22 2014 09:45:13 GMT+0800 (Taiwan Standard Time),Fri Aug 22 2014 09:45:02 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,9337,add_long,2,3,5,normal,,"2014/08/22 09:45:02 ""9337"" 加碼多單目前倉位：+5 之前倉位：3 交易所_B(小型台指) 倍數：1, 本次下單：0 , 帳戶實際倉位：2 , 總倉位：2 MIX"
147f6c1061475cfd,Thu Aug 21 2014 12:09:16 GMT+0800 (Taiwan Standard Time),Thu Aug 21 2014 12:09:07 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,9223,add_long,1,1,2,normal,,"2014/08/21 12:09:07 ""9223"" 加碼多單目前倉位：+2 之前倉位：1 交易所_B(小型台指) 倍數：1, 本次下單：1 , 帳戶實際倉位：2 , 總倉位：2 MIX"
147f6ab11ba94ad9,Thu Aug 21 2014 11:45:17 GMT+0800 (Taiwan Standard Time),Thu Aug 21 2014 11:45:07 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,9209,reduce_long,-1,2,1,normal,,"2014/08/21 11:45:07 ""9209"" 減碼多單目前倉位：+1 之前倉位：2 交易所_B(小型台指) 倍數：1, 本次下單：-1 , 帳戶實際倉位：1 , 總倉位：1 MIX"
